S.No,Title,Address,Category,Contact No,District,Area
651,eZhire - Car Rental Pakistan,Technology Park, Association or organization,      0344 3394473,East,Gulshan
652,Ezy transport services & rent a car,"Main haqqani chowk, I.I Chundrigar Rd, near Smart School", Car rental agency,      0333 9998566,East,Johar
653,F S Auto WorkShop,Shah Faisal Town, Auto repair shop, 0307 2940516,East,Faisal Cantonment
654,F&B Movers,"Shop No- 8, Sobia pride", Transportation service, 0333 1277751,East,Johar
655,FA Autos Station,Sahba Akhtar Rd, Auto parts store, 0321 7622777,East,Gulshan
656,Auto Foam Car Wash & Detailing,,Car wash,0315 8540611,East,Gulzar E Hijri
657,Faheem Puncture,"Sector 5 M, near Nazia Square", Tire shop, 0324 2521457,Central,Gulberg
658,Auto Genius,,   Auto repair shop,0316 2989909,East,Johar
659,Faisal auto mechanic and cng specialists,Plot 146 E, Mechanic, 0334 3249345,East,Faisal Cantonment
660,Faisal Auto Mobile,5+ years in business  Main Shahrah-e-Qaideen, Wheel alignment service, 0333 1324423,East,Faisal Cantonment
661,Faisal Autos,W52W+MQ5, Motorcycle repair shop,0300 2281382,East,Faisal Cantonment
662,Auto Mechanic (Akram),  W3XC+5WW,   Auto repair shop,,Central,Gulberg
663,Faisal Movers Bus Terminal,"bus terminal, Karachi - Hyderabad Motorway", Bus company,0310 9224488,,
664,"FAISAL MOVERS BUS TERMINAL ,KARACHI CANTT",Cantt Railway Station Internal Rd, Bus ticket agency,0310 2222225,,
665,Faizan ‘Auto SPA,56c 13th Commercial Street,Car wash,,East,Gulshan
666,Faizan Brothers Ren A Car,Shop # K7A Al Azam square, Car rental agency, 0314 3963803,Central,Nazimabad
667,"Faizan LPG gas ,oil & bike service & tyre shop",6 number bus stop, Home goods store, 0331 0229549,East,Johar
668,Falcon rent a car,A, Car leasing service,      0313 2196030,East,Johar
669,Falcon-i (Pvt) Ltd.,10-B Moulvi Tamizuddin Khan Rd, Logistics service, (021) 111 007 333,,
670,Fantasy Rent a Car,Fedral B Area، Plot# R-341 Federal B Area, Car rental agency,      0345 3106653,East,Gulshan
671,Fantasy Rent A Car & Event Manegment,House# R341, Car rental agency,      0345 3106653,East,Gulshan
672,Auto Oil Traders & Car Wash,Sir Syed Ahmed Rd ,Oil change service, 0332 2221140,East,Gulzar E Hijri
673,Faraz bike wash,V2CV+PQ9,Car wash,,East,Gulshan
674,Faraz Car A/C,"3-F 5/1, Nazimabad Block 3, near Eid Gah", Auto air conditioning service, 0323 2550609,Central,Nazimabad
675,Auto PPF Paint Protection Film | Car Wrap | Glass Tint,Shop No 2 plot D4 NCHS ,Car accessories store, 0313 2144021,East,Gulzar E Hijri
676,Farhan Ali Transport & Car Rent,"Farhan Car Transport, Street 3, opposite Zeenat Bakery", Car rental agency,      0314 2066143,Central,Nazimabad
677,Auto Service Station,Jamia Millia Rd,   Tuning automobile,,East,Johar
678,Auto Solutions 360,3+ years in business, Auto repair shop, 0305 2432606,East,Gulzar E Hijri
679,Farhan Autos & Tyre Shop,Jamshed Rd  In Zain Plaza, Motorcycle repair shop, 0332 2860790,East,Johar
680,Farhan Autos Engineering Works,Plot A 150, Car repair and maintenance,0333 2231622,East,Johar
681,Auto Spa - Car Wash & Detailing,W4CR+GCC,Car wash,  0331 0099919,East,Gulzar E Hijri
682,Farhan Rent a Car,10 Liaqatabad Underpass, Car rental agency,      0312 2810139,East,Gulshan
683,Farhan Rent A Car Karachi,Plot 16 K, Car rental agency,      0315 0262606,East,Gulshan
684,Farooq Autos,"Shahrah-e-Faisal, Shah Faisal Colony, Malir Halt", Auto parts store,,East,Faisal Cantonment
685,Farooq Autos The Complete Auto Solution,"Unnamed Road, near Habib University", Auto electrical service, 0305 3527008,East,Johar
686,Farooq Bhai's Car Wash,3+ years in business  W35H+7P9, Car wash, 0300 9281501,East,Johar
687,Farooq e haider car wash,Sachal Goth Rd, Car wash,,East,Johar
688,FARRI RENT A CAR,Rufi Heaven, Corporate office,,East,Gulshan
689,Farrukh Autos,3+ years in business  2 SN.Khan St, Mechanic,,Central,Nazimabad
690,Fast Fit Autos Work Shop,"Block G, Al-Ahram Square Shop No 2, Nazimabd, Sir Syed Ahmed Rd", Auto repair shop,,Central,Nazimabad
691,Fast Rider Traders,New Urdu Bazar, Tire shop, 0345 2826565,Central,Gulberg
692,Fast Track,Suite # 30 Second Floor, Car rental agency,      (021) 35792222,East,Johar
693,Fast Track Rental Services (PVT) LTD,Suite # 2 lane 12 Building 7 c bukhari Commercial Phase 6 D.H.A، Lane 2, Car rental agency,      (021) 35242561,East,Johar
694,Auto tech,B 262,   Auto repair shop, 0311 2317564,Central,Nazimabad
695,Autobots by HONDA,"Plot 8b Corridor Area, Main Super Highway, Near Gulshan-e-Maymar ",Car detailing service, 0321 8210390,East,Gulzar E Hijri
696,Fayyaz Auto Mechanic,3+ years in business  9 Shahjahan Ave, Auto electrical service,0322 2458631,Central,Nazimabad
697,AutoMec Fabrications,W4CQ+XX,   Auto repair shop, 0320 2446244,East,Johar
698,Fazal Rant a Car,"Office#201, Al Amin Towers", Car rental agency, 0306 3390431,East,Johar
699,Fida Autos,Al Ahmed heights shop #10, Auto parts store, 0321 2332328,East,Johar
700,Fifth Falcon Rent a Car,Al-Shams Complex, Car rental agency,      0300 2906364,East,Johar
701,Finish Line Car Wash & Detailing Center,"5+ years in business  Byco Petrol Pump,, Shaheed-e-Millat Rd", Car wash, 0300 9235613,East,Johar
702,AutoMobile Clinic Car AC Point,"Office # 12, gulberg square, Government Degree Girls Science And Commerce College Block 16 Rd",   Auto repair shop,,Central,Gulberg
703,First Choice Rent a Car,shop no 3/102.opp ambreen appartment, Car rental agency,      0300 2389569,East,Johar
704,First Impression Car Mart,Open ⋅ Closes 9PM  0333 3656156, Car stereo store,,East,Johar
705,AutoMobile Clinic HHO Kit Point,Plot D 12/1,   Auto repair shop, 0320 0251440,Central,Nazimabad
706,Five Star Autos - Yamaha 2S,Maa Tower, Motorcycle dealer, 0314 2117585,Central,Nazimabad
707,Five Star Honda/ Services in Johar,"Shop # 3 & 4 Crescent View Apartments opposite حبیب یونیورسٹی, opposite Habib University", Honda dealer, 0317 0251122,East,Johar
708,Five Star Transport Service & Rent a car,      0332 3303009, Transportation service,,East,Gulshan
709,Fk Motors,3+ years in business, Mechanic, 0333 3298652,Central,Nazimabad
710,FM Auto Mechanic,Plot 150,      Motorcycle repair shop,,East,Johar
711,FM GENERAL AUTOPARTS,Street No.1, Motorcycle parts store,0336 2625049,Central,Nazimabad
712,Four star suspenion silencer and mechanical works,3+ years in business  New Rd Service Ln, Auto repair shop,,East,Johar
713,Autotech,"Shop No. 3, Marhaba Heights",   Auto parts store, 0300 9249573,Central,Nazimabad
714,Awais Tyres,"Bashir Plaza Shop 2, Shahrah-e-Usman",   Tire shop,,Central,Nazimabad
715,Friend’s car wash & Auto detailing,3+ years in business  Plot # A-34, Car wash, 0336 0993337,East,Johar
716,Friends,Shahrah-e-Pakistan, Car rental agency,      0314 2025546,Central,Gulberg
717,Friends Auto Mobile shop,3+ years in business  Karachi, Mechanic, 0322 3232538,East,Faisal Cantonment
718,Friends Transport Service,A-1/5 Abul Hasan Isphahani Rd, Car leasing service, 0341 2540670,Central,Gulberg
719,Friends Transport Service & Rent A Car,"Shop No. 6, Yasir Arcade, near Bilal Masjid", Car leasing service, 0315 2973806,East,Johar
720,Azaan Motor & Rent A Car,"Sadaf Terrace, shop no 9, opp. nazeer Hussain medical hospital",   Car leasing service,0317 2038058,East,Johar
721,Fsd tyre and wheel alignment,"Shahrah-e-Faisal, near kaka kahil cng pump", Wheel alignment service,      0302 3953530,East,Faisal Cantonment
722,Fsd Wheel Balance,"National Hwy, 5", Car inspection station,      0302 3953530,East,Faisal Cantonment
723,G T S RENT A CAR,W363+9HW, Car rental agency,0300 2070166,East,Johar
724,Azam auto detailing,15 15th Commercial St,   Car wash,,East,Johar
725,Garage auto workshop,20+ years in business, Mechanic,0310 2044763,East,Johar
726,Garage Junkies,5+ years in business  C-11 University Rd, Auto tune up service,,East,Johar
727,Garmin.pk,"Shaheen Center, Suit : 46-55 First Floor Sasi Arcade, Block 7, - Main Clifton Road Suit : 302-303, Third, Main Clifton Road", GPS supplier, (021) 38739030,,
728,Gear Up Motorsports,"Shop no-5, Raza Excellencey", Car repair and maintenance, 0333 3647261,East,Johar
729,General Motor Store,"18-A, Aziz Mahal, Mohan Rd, opposite Bahadurshah Zafar Market", Tire shop, 0342 2108983,East,Johar
730,General motors,shop 4 ghosia market shershah kabari bazar, Shopping mall,0346 2894620,Central,Nazimabad
731,Azam Suspension work,ZXZ84A1/50 Rizwan Society Road, Mechanic,0324 2824977,East,Gulzar E Hijri
732,Geokarachi rent a car,Al-Asif Square, Car rental agency,      0323 2101474,Central,Gulberg
733,Ghadeer Autos,"Shop # 5, SB No. 03 KDA Scheme, 36", Auto parts store,,East,Johar
734,Ghazi Autos Karachi Workshop / Garage,"3+ years in business  Shop No 26 Block No 39 Defense Garden, DHA Phase-1 karachi-4, opposite side of NMC hospital with Zafcom trading & UBL bank", Auto repair shop, 0300 2901298,East,Johar
735,Azan Autos & Generator Repairing,"Shop# G-27, Munir Shopper Paradise",   Mechanic,,East,Johar
736,Ghosia Tyre Point,, Store, 0334 3156249,East,Johar
737,Ghouri Autos,"3+ years in business  L, 75600, Block D", Auto body shop,,Central,Nazimabad
738,Ghouri autos and spare parts,St 6, Auto bodywork mechanic, 0333 3781430,East,Johar
739,Aziz auto parts,Shop no 81,      Auto repair shop,,East,Gulzar E Hijri
740,Ghulam Autos,W46R+32R, Mechanic,      0334 3613633,East,Johar
741,Ghulam Habib & sons Tyre shop & oil Traders,Rehan Zeeshan St,      Lodging,,East,Gulshan
742,GLINT - Auto Detailing Studio,"3+ years in business  Sana Residency, Shop # 5, Allama Iqbal Rd", Car detailing service, 0333 2529809,East,Johar
743,Global tyres,"Bahadur Shah Center, Shop no:1, opposite Urdu bazaar  In Bahadur Shah Centre", Tire shop,      0300 9222172,East,Johar
744,Globex auto services,"A, 33, University road, al-jadeed Supermart", Oil change service,,East,Johar
745,gocompare.com.pk,"C-5/103, Asifabad Green Town Asifabad Green Town Shah Faisal Colony, Karachi, Karachi City, Sindh",  Insurance agency, 0333 3121767,Korangi,
746,Gola Wala Autos,W473+5H2, Auto parts store, 0300 2115326,East,Gulshan
747,Gold Tracker Services Pvt Ltd,Plot 8 G, Corporate office, (021) 34372277,,
748,Golden Autos,7+ years in business  Sir Shah Muhammad Suleman Rd, Motorcycle repair shop, 0300 3973409,East,Gulshan
749,Golden Car Repair Shop,7+ years in business  McIver Rd, Auto repair shop,(021) 35687616,East,Faisal Cantonment
750,Golden Oil & Car Wash,W3W8+HVQ  0346 2566675,Car wash,,East,Gulshan
751,Gosafe Systems Pvt Ltd.,"Hamilton Court, Suite # 12, G2, Khayaban-e-Iqbal Rd",      Corporate office, (021) 35866000,,
752,Grace inn Guest House & Rent a Car,House # B-49. St # 12.Gulshan-e-faisal Bath Island . Clifton karachi, Bed & breakfast,0300 4799953,East,Gulshan
753,Grand Transport Services (pvt)LTD.,, Recreational vehicle rental agency,      0311 1777487,Central,Gulberg
754,"Aziz Autos | Denting,Painting, & Mechanical Works","Pak Avenue, Shop#15",   Mechanic,,East,Johar
755,Green Limousine Services,near Avari Tower, Car rental agency,      0345 2902829,East,Johar
756,Green Line Autos,3+ years in business  Sharfabad Club, Car repair and maintenance, (021) 34130281,Central,Nazimabad
757,GSM Car Security System,Laraib Garden, Car alarm supplier, 0334 2999149,East,Gulshan
758,GTR Tyre,"H-23/2 Landhi Industrial Trading Estate, Landhi, Karachi", Tyre manufacturer, (021) 111 487 487,East,Johar
759,GTS Rent A Car,"Bahadur Shah Center, 202/2, Mohan Rd", Car rental agency,      0311 1777487,East,Johar
760,Guard Auto Zone Malir Cantt,5+ years in business  E Malir Cantt. Road, Auto repair shop,,East,Faisal Cantonment
761,Baba sain Auto's,Unnamed Road, Auto parts store,0340 2150592,East,Gulzar E Hijri
762,Guddu Mechanic,"Plot 293 C, Block, 1", Car repair and maintenance,0323 2045154,East,Faisal Cantonment
763,Gul Batteries,"Plot R28 Main dalmian road near cement factory, opposite PSO pump", Car battery store, 0322 2844372,East,Gulshan
764,Gull Tyre Puncture Shop,R4RC+F7C, Tire shop,      0300 2014116,Central,Nazimabad
765,GULSHAN AUTOS,5+ years in business  near islamic missionary universty, Car repair and maintenance, 0300 2297718,East,Johar
766,Gulshan car wash,Plot ST 5, Car wash,,East,Johar
767,Gulshan-e-Iqbal Tyre Shop,    , Wheel store,,East,Johar
768,Baba Service Station,Unnamed Road,Car wash,,East,Gulzar E Hijri
769,H.S Auto Workshop,New Rd Service Ln, Auto parts store, 0307 2808335,East,Gulshan
770,Habib Autos,New Rd Service Ln, Mechanic, 0344 1299382,East,Johar
771,Habib Bank Limited,A-51b-2 Gulshan-e-Iqbal  (021) 111 111 425,Private sector bank,⋅ Opens 9AM Thu,East,Gulshan
772,Habib Insurance,"1st floor, state Life Building No. 6, Habib Square, M.A Jinnah Rd, Bunder Quarter, Karachi, Karachi City, Sindh 74000", Insurance company, (021) 111 030 303,East,
773,Habib Metro Bank,"kareem Terrace, Rashid Minhas Rd",Bank,⋅ Opens 9AM Thu,East,Gulshan
774,Habib Metro Bank Gulshan e Jamal,Plot A 32,Bank,,East,Gulshan
775,HABS TIRE STORE,Khayaban-e-Badar, Tire shop, (021) 35850095,Central,Nazimabad
776,Hadi Auto,, Mechanic, 0300 3682368,East,Johar
777,Hafiz Autos and Lubricants,"Shop No. A, Parkview Apartments, 11 Rashid Minhas Rd Service Ln", Auto repair shop, 0333 4990779,East,Gulshan
778,Babu bhai welding,W3G9+2WP,   Auto repair shop,,Central,Gulberg
779,Haider Autos & Car AC,"Plot No 555, 556 Allama Iqbal Rd, near La Chine And Red Apple", Air conditioning repair service, 0341 2255575,Central,Nazimabad
780,Backyard Detailing,"House no A, 349 ",Auto body shop, 0335 2903893,East,Gulzar E Hijri
781,Haider rent a car,Jauhar Chowrangi Service Ln, Car rental agency,0342 6809236,East,Johar
782,Haji Imran Autos,W2PH+VVP, Auto machine shop,,Central,Nazimabad
783,Badar Autos,Shah Faisal Town,   Auto bodywork mechanic, 0311 8437967,East,Faisal Cantonment
784,Haji Qasim Old Tires Shop,Akbar Rd, Used tire shop,,Central,Nazimabad
785,Haji Tyre Agency,"Shop #G-22/A , Al-Asif Square , Sohrab Goth, near Sindh Bank, Karachi", Tire shop, 0300 2859609,East,Johar
786,Haksons Tyre Co,Tariq Rd, Tire shop, (021) 34541655,East,Johar
787,Hameed Rent a Car,Office no 42 gray sky line behind erum shoping centre mai joher chowrangy  In Mövenpick Karachi, Car rental agency,      0313 0004771,East,Johar
788,Badin Rent a Car,Karachi,   Car rental agency,,East,Gulshan
789,Hamza Autos, 0314 2310377, Auto parts store,,Central,Nazimabad
790,Bahria Battery Zone,"Shop#19, A-One complex, Phase-2, ABUL HASSAN ISPHANI ROAD", Car battery store,      0301 2608040,East,Gulzar E Hijri
791,Hamza Autos Suzuki Authorized dealer,"Shop # 53, Hyderi Police Line Rd",      Motorcycle parts store,0333 0395855,East,Gulshan
792,Hamza Autos Suzuki work shop & Authorized dealer,Shop # 53 block E police line hedary, Motorcycle parts store, 0333 0395855,Central,Nazimabad
793,Hamza motors f.b area,Shop#D/8.B hassan lodge block 7, Auto repair shop, 0331 2158047,Central,Gulberg
794,Baloch car wash,Unnamed Road,Car wash,,East,Gulzar E Hijri
795,Haneef Autos,W3PG+5HW, Auto parts store, 0333 7807876,Central,Gulberg
796,Hani Transport & Rent A Car,X3X8+V6W, Car rental agency,,East,Gulshan
797,Baloch Cars Mechanics Work Shop,, Auto bodywork mechanic,,East,Gulzar E Hijri
798,Hanif Autos - Auto Mechanic,5+ years in business  Jain St, Car repair and maintenance, 0300 9286595,East,Faisal Cantonment
799,Hanif Car Mechanic Advance auto Workshop,, Repair service,0321 3434338,Central,Nazimabad
800,Hanif Mechanic,MC 1225, Auto repair shop,      0308 2564361,East,Faisal Cantonment
801,Haq Bahoo AUTOS BILAL,5+ years in business  W5Q2+FPJ, Car detailing service, 0333 9919915,East,Johar
802,Haq tyre,,      Tire shop,,East,Johar
803,Basit Autos car A/C service,"A1 comfort, Main Rashid Minhas Rd",   Auto air conditioning service,0300 3608519,East,Gulshan
804,HARMAIN AUTOS,3+ years in business  W49M+GF7, Mechanic,,East,Johar
805,HARMAIN RENT A CAR,"Shop no 2 arafat classic, main University Rd", Car rental agency, 0312 2326896,East,Johar
806,Hasan Car Spa,Sultan Ahmed Shah Rd ,Car wash, (021) 34896333,East,Gulshan
807,Hasan Noor Tyre wheel shop,391 Jigar Muradabadi Rd, Car accessories store, 0312 1041206,East,Johar
808,Hasan rent a car (OVAIS),Al Azam Square, Car rental agency, 0333 3372869,East,Gulshan
809,Best Rent A Car travel and tourism,Plot A 335,   Car rental agency, 0333 3834934,East,Johar
810,Hassan auto tyre and wheel alignment,5 Allama Shabbir Ahmed Usmani Rd, Tyre manufacturer, 0330 2670601,East,Johar
811,Hassan Autoes,WXFW+G36, Mechanic,0316 2271834,Central,Nazimabad
812,HASSAN TYRE,"Furqania Complex, New M. A. Jinnah Rd", Tire shop,,East,Johar
813,Hassankhail Auto Workshop,Manghopir Rd, Mechanic,,Central,Nazimabad
814,Hat rent a car,"Citizen view appment shop LG 3, near habib university", Car rental agency, 0303 0162137,East,Johar
815,Hcr motar and raeea car ac,W2MW+7F4, Lodging,0302 7640704,Central,Nazimabad
816,BEST WHEELS HIGHWAY,Plot # 10, Car dealer, 0332 3340180,East,Gulzar E Hijri
817,Hellmann Worldwide Logistics,"D, 38", Shipping company, (021) 111 495 725,,
818,Hertz,Club Rd, Car rental agency,      (021) 35633251,East,Johar
819,Hertz Optimus Ltd,"Chapal Plaza, Grant Rd", Car rental agency, 0800 437 89,East,Gulshan
820,Hertz Pakistan,Dr Ziauddin Ahmed Rd  In Mövenpick Karachi, Car rental agency,      0800 437 89,East,Johar
821,hi Speed Car Wash,Johar Mor Rd Service Ln, Car wash,0300 9223130,East,Johar
822,Highway Engineering,Shah Faisal Town, Car repair and maintenance,,East,Faisal Cantonment
823,Highway engineering (Saeed khan),In Falaknaz Tower, Auto repair shop, 0315 2270188,East,Faisal Cantonment
824,Highway Trading Company,Khalid Bin Walid Rd, Tire shop, 0321 8214597,East,Johar
825,Hilex Oil Change,3+ years in business  W428+4VJ  In Shell, Oil change service,,East,Gulshan
826,HI-TECH Auto Workshop,Pehlwan Goth Rd, Auto parts store,,East,Johar
827,HM autos," Shop no G4 KDA overseas Appt, Gulshan-e-Iqbal, Karachi", Oil change service, 0311 2255764,East,Gulshan
828,Honda care center Shahid,ST 8, Mechanic,,Central,Nazimabad
829,Honda Care Center Zahid,E 2/1, Motorcycle repair shop,,Central,Nazimabad
830,Honda Drive-In Showroom,C، 118، Main Rashid Minhas Rd, Honda dealer, (021) 34992832,East,Johar
831,Honda nazimabad,"shop # 1,2,3 plot # 1/16 area 3-H Near Gole Market", Motorcycle dealer, 0335 7573823,Central,Nazimabad
832,Honda Quaideen Workshop,7+ years in business  234 b، Masjid-e-Tayyaba St, Auto repair shop, (021) 34540700,Central,Nazimabad
833,Honda Service Center,3+ years in business  Karachi, Motorcycle repair shop, 0333 3613152,East,Faisal Cantonment
834,Honda Service Centre,3+ years in business  Orangi 10 No Rd, Auto repair shop,,East,Johar
835,Honda Site,C-1، Main Manghopir Rd, Honda dealer, 0321 9215200,Central,Nazimabad
836,Honda United,D-8, Honda dealer, (021) 36680551,Central,Nazimabad
837,HR Alignment,5+ years in business  W3MC+FXG, Car repair and maintenance, 0333 3569407,Central,Nazimabad
838,HTL Express,Kamran Chowrangi Bus Stop, Oil change service, 0333 3831281,East,Johar
839,"HTL Express DHA, Karachi. (ZIC Motor Oil)",3+ years in business  31-C 21st Commercial St, Oil change service, (021) 35805336,East,Johar
840,HTL Express PECHS (ZIC Motor Oil),PLOT# 100 J, Oil change service, (021) 34329918,East,Johar
841,Hukumjanab.pk,3+ years in business  Main University Rd  In the NED University of Engineering and Technology, Mechanic, 0304 1110203,East,Johar
842,Hum Rent A Car,"Police Station, Shop 3, jilani corner, near Gulzar e Hijri", Car leasing service,      0333 1376160,Central,Gulberg
843,Bijora cars,X45X+693,      Auto restoration service,      0309 1238248,East,Gulzar E Hijri
844,Humsafar Rent a Car,"KDA flats nagan chowrangi, Shahrah-e-Usman", Car rental agency,      0313 1090999,Central,Nazimabad
845,Hussain and Company,"Bahadurshah Zafar Market, 97, M.A Jinnah Rd  In Tyre Market", Tire shop, (021) 32636429,East,Johar
846,Hussain Auto Wheel Balancing,3+ years in business  W2HG+C33, Auto repair shop, 0300 2388785,Central,Nazimabad
847,Hussain Automotive,, Tuning automobile, 0323 2478784,East,Gulshan
848,Hussain Car Service Station,V2GJ+FQ4 ,Car wash, 0333 2168827,East,Gulshan
849,Hussain Oil & Autocare,"10+ years in business  National Stadium Road opposite PSO Pump NHS Phase II, Dalmia Cement Factory Road", Oil change service, 0315 3000633,East,Gulshan
850,Bike Atous,Al Ahmad Rd,      Mechanic,,East,Gulzar E Hijri
851,Huzaifa Autos,3+ years in business  8 Shahrah-e-Jahangir, Auto restoration service,,Central,Gulberg
852,Huzaifa Autos & Service Centre,"W472+M76 Park View Apartments, Main Rashid Minhas Rd, near Mehreen Beauty Parlour  In Park View Apartment", Motor scooter repair shop, 0300 2145257,East,Johar
853,Hyderi Puncture Shop,"A-313, A-313 Cricketers Ave", Tire shop,,Central,Nazimabad
854,Ibraheem Tyre Shop,31/464 Model Colony Rd, Tire shop, 0300 2384261,East,Johar
855,Ibrahim Rent a car,Pasban center shop 5, Car leasing service,,East,Johar
856,Ideal Rent a Car,"Block-5A, Shop 01, Main Abul Hasan Isphani Road", Car rental agency, 0311 1121011,East,Johar
857,Ideal Rent a Car Gulshan,"Rashid Minhas Rd Service ln, Haripur St, near Adnan-ur-Raheem Shaheed Family Park", Car leasing service,      0348 5033252,East,Johar
858,IG Motors Bodyshop,"L-1, Main Shahrah-e-Pakistan", Auto body shop,,Central,Gulberg
859,IGI General Insurance Limited - Head Office Karachi," 713, G-20, Block، 7th Floor, The Forum, Suite 701، 9 Khayaban-e-Jami, Clifton, Karachi, 75600", Holding company, (021) 111 234 234,South,Clifton 
860,IGI Life Insurance Limited," G-20 Block, Suit # 701-713, 7th Floor, The Forum, 9 Khayaban-e-Jami, Block 9 Clifton, Karachi, Karachi City, Sindh 75600", Life insurance agency, 0345 2313720,South,Clifton 
861,IGI LIFE Insurance Ltd Park Avenue 7th Floor,"Bus Stop, Lal Kothi (house), 701, 7th floor, Park Avenue, Main Shahrah-e-Faisal, Karachi, 75100", Insurance company, 0333 2266087,,
862,IGI TAKAFUL INSURANCE,"5th Floor, MADINA CITY MALL 512, Abdullah Haroon Rd, Saddar Karachi, Karachi, 75500", Insurance company,0311 2904124,South,Saddar
863,Ignition,Dadabhoy Nauroji Rd, Car wash, 0333 3337627,East,Johar
864,Ikram Autos,"shop no 3, Ali conner, 8 Shahrah-e-Jahangir", Car repair and maintenance,  0300 2480317,Central,Gulberg
865,Ikram Motor Works,3+ years in business, Car repair and maintenance, 0333 8227666,Central,Nazimabad
866,Ilma rent a car,Civic Lawn Road, Transportation service,,East,Johar
867,Bike market UP mor Nazimabad,X3C9+V6V,   Auto parts store,,Central,Nazimabad
868,Bike Mechanic,,   Mechanic,,East,Faisal Cantonment
869,Imran Auto Parts And Mechanic,, Mechanic,,Central,Nazimabad
870,Imran Electrician,"Unnamed Road, Federal B Area Naseerabad Block 14 Gulberg Town, Karachi, Karachi City, Sindh Naseerabad",      Motorcycle repair shop,,Central,Gulberg
871,Imran Jump Autos _ jumps repair shop for bike,Unnamed Road, Motorcycle repair shop, 0345 3371050,East,Faisal Cantonment
872,Imran Mechanic,3+ years in business  E Malir Cantt. Rd Karachi 75070 Malir Cantt. Rd, Mechanic, 0302 3665735,East,Faisal Cantonment
873,Imran Motors Mechanic,Unnamed Road, Tuning automobile, 0300 2178339,Central,Nazimabad
874,Bike Mechanic,36th Street, Mechanic, 0313 2478030,East,Gulzar E Hijri
875,Imran Tyre Shop,Block 1, Shopping mall,,East,Gulshan
876,"IMTIAZ AUTO ELECTRITION (Saleem, Waseem, Habib bhaiz)",3+ years in business  No. 1 Service Rd (Opp: Fancy & Lamcy Lawn), Auto electrical service,,East,Johar
877,Indus Car Wash,Malir Link to Super Hwy, Car wash, 0314 2123117,East,Johar
878,Indus Car Wash & Lubricants,,Car wash, 0332 1031165,East,Gulshan
879,Indus Cool,5+ years in business  Noman Centre, Car repair and maintenance,,East,Gulshan
880,Bike Modification Center,"1E, 14/2 nazimabad no1",   Mechanic, 0315 0271199,Central,Nazimabad
881,Insurance For U,"Marium square, Block 3 PECHS, Karachi, Sindh 75850", Insurance company, 0333 3465548,East,P.E.C.H.S
882,International hilux vigo Auto Works shop,"Manila Center, Block 13 D 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300", Auto repair shop, 0310 2868318,East,Gulshan
883,Iqbal Autos,W354+C28, Auto parts store,,East,Gulshan
884,Iqbal denter and murad mechanic,, Car repair and maintenance,0300 2219163,East,Johar
885,Iqbal tyre,"Shop no 5 roomi center Mohan Road, New Urdu Bazar, near Bahadurshah Zafar Market", Tire shop, 0300 9209036,Central,Nazimabad
886,Iqra motor insurance,Shireen Jinnah Colony, Insurance broker, 0300 2593107,South,
887,IQRA Rent a Car,Block 5-C, Refrigerated transport service, (021) 36687787,Central,Nazimabad
888,IRFAN AUTOS,X34C+QWG, Auto repair shop,,Central,Nazimabad
889,Irfan Carwash Service.,Karachi ,Car wash, 0313 1070986,East,Gulshan
890,Irfan ustad,Service Rd, Motorcycle repair shop, 0304 2515924,East,Johar
891,Irshad Auto Workshop,Plot D 11/14C, Car repair and maintenance, 0333 2119631,Central,Nazimabad
892,Irshad Autos,5+ years in business  Mahmoodabad Rd, Mechanic,,Central,Nazimabad
893,Bilal Auto And Parts,Shah Faisal Ave,   Auto parts store,0300 2161674,East,Faisal Cantonment
894,Islam Autos - Pak Suzuki Authorized,"35+ years in business  Shop#7, Shamim Plaza، Sharah-e-Humayun", Motorcycle repair shop, 0300 3657245,East,Gulshan
895,iTecknologi Group of Companies,"QM Building, 09th Floor, Plot, 15, Khayaban-e-Roomi", Corporate office,      (021) 111 148 325,,
896,Bilal Auto Workshop e17,W2FQ+5J5,   Electronics store,,Central,Nazimabad
897,Ittihad traders,"Bismillah Market, Shop#5 block 8, main super highway  In Sabzi Mandi", Tire shop,0300 8200620,East,Gulshan
898,BIN ARIF MOTORS HYBRID CAR WORKSHOP,W5R3+P64, Auto repair shop, 0349 2947499,East,Gulzar E Hijri
899,Bisma Car Wash & Car Mart,"Lsb 15, St 9",   Car wash, 0333 3962647,East,Gulshan
900,J M Car Auto Services,3+ years in business  W49M+578, Chauffeur service,      0334 3603451,East,Johar
901,J.M autos car dignastic center,"Mughals @ 3A/22, Corniche Comforts, Service Lane, Jauhar Chowrangi Road", Auto repair shop,0314 5755700,East,Johar
902,J.S RENT A CAR,W362+33W,      Corporate office,0333 0666077,East,Gulshan
903,Bisma Car Wash Service Station and Auto Mart,"H LSB ROW 15 street, 9 ",Car wash, 0333 3962647,East,Gulzar E Hijri
904,Jaffar Autos,"Block 18 Rabia City, Block A Rd",      Motorcycle repair shop, 0300 3322646,East,Johar
905,Jahangir Autos,X3G8+V8H, Mechanic,,Central,Nazimabad
906,Jalal Autos,5+ years in business  Shahrah-e-Faisal, Car repair and maintenance, 0314 2375702,East,Faisal Cantonment
907,Jalil Tyre Shop,V3W8+CPJ, Wheel store,,East,Johar
